No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
11,Aurora / Borealis,General,"Northern lights, gradient mesh, flowing colors, cosmic, ethereal, dreamy, soft glow, animated gradients","Deep Purple #6B2D8B, Teal #00B4D8, Emerald #00C896","Magenta, Soft White, Dark Navy background","Animated gradient mesh, aurora glow, flowing color animations, mesh gradient backgrounds, soft particle effects","Creative apps, portfolios, AI products, wellness, premium brands","Accessibility-critical, enterprise, text-heavy content",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Tailwind 7/10, Custom CSS 10/10",2022-Present,High,"Design an aurora borealis themed UI. Use: animated mesh gradient background (purple, teal, emerald, magenta), flowing color transitions, soft glow overlays, dark navy base, ethereal dreamy aesthetic.","background: mesh-gradient animated; filter: blur for glow; animation: hue-rotate, color shift","☐ Mesh gradient applied, ☐ Dark base layer, ☐ Animation performance checked, ☐ Text contrast on gradient, ☐ Fallback static gradient","--aurora-1: #6B2D8B, --aurora-2: #00B4D8, --aurora-3: #00C896, --base: #0a0a1a"
12,Monochrome / Greyscale,General,"Black and white, greyscale, minimal color, high contrast, timeless, editorial, photography-forward","Black #000000, White #FFFFFF, Grey #808080","Charcoal #333333, Silver #C0C0C0, Light Grey #F5F5F5","Subtle hover states, greyscale image treatments, clean shadows, sharp typography, no color distractions","Photography portfolios, editorial, news sites, minimal brands","E-commerce (color matters), entertainment, children apps",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind 10/10, Bootstrap 9/10",Timeless,Low,"Design a monochrome greyscale UI. Use: black, white, and grey only palette, high contrast typography, editorial grid layout, photography-forward design. No color accents. Clean and timeless.","color: #000 or #333; background: #fff or #f5f5f5; border: 1px solid #ccc; no color other than greys","☐ No color outside greyscale, ☐ Typography hierarchy strong, ☐ WCAG AAA contrast, ☐ Image treatment greyscale, ☐ Grid editorial","--black: #000, --white: #fff, --grey-mid: #808080, --grey-light: #f5f5f5"
13,Maximalism / Art Deco,General,"Bold, ornate, gold, geometric patterns, luxury, 1920s, decorative, contrast, serif fonts, detailed","Gold #FFD700, Black #000000, Deep Red #8B0000","Cream #FFFDD0, Navy #001F5B, Bronze #CD7F32","Geometric patterns, gold accents, ornate borders, serif headlines, decorative dividers, rich textures","Luxury brands, fashion, jewelry, hotels, premium products, events","Tech startups, functional tools, mobile-first, accessibility-critical",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Custom CSS 9/10, Tailwind 5/10",1920s,High,"Design an Art Deco luxury UI. Use: gold/black/cream palette, geometric decorative patterns, ornate borders, serif typography, 1920s aesthetic, rich textures and details. Luxury maximalist approach.","font-family: Playfair Display, Cormorant; color: #FFD700; border: ornate; background: rich texture","☐ Geometric patterns, ☐ Gold accent system, ☐ Serif headline font, ☐ Ornate borders/dividers, ☐ Luxury feel maintained","--gold: #FFD700, --black: #000, --cream: #FFFDD0, --font-serif: Playfair Display"
14,Kawaii / Cute Japanese,General,"Cute, pastel, rounded, playful, anime, chibi, soft, candy, bubbly, mascot, J-pop","Soft Pink #FFB7C5, Baby Blue #BDDAF4, Mint #C1F0C1","Lavender #E6CCFF, Peach #FFD5B8, Warm White","Bouncy animations, mascot characters, rounded everything, pastel palette, emoji integration, playful hover states","Children apps, beauty brands, food, gaming, consumer apps","Enterprise, B2B, professional services, finance, healthcare",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Custom CSS 9/10, Tailwind 7/10",J-Pop Culture,Medium,"Design a kawaii cute Japanese UI. Use: pastel pink/blue/mint palette, extreme rounded corners, bouncy animations, cute mascot elements, bubbly typography, playful interactions. Adorable and fun.","border-radius: 50px; color: pastel; animation: bounce; font-family: rounded sans-serif; icons: cute style","☐ Pastel palette applied, ☐ Extreme rounding, ☐ Bouncy hover animations, ☐ Mascot/emoji integrated, ☐ Playful font","--pink: #FFB7C5, --blue: #BDDAF4, --mint: #C1F0C1, --radius: 50px, --bounce: cubic-bezier"
15,Memphis / 80s Pop,General,"80s, geometric shapes, primary colors, squiggles, polka dots, confetti, postmodern, bold, playful","Primary Red #FF3333, Yellow #FFFF00, Blue #3333FF","Black outlines, Pink #FF69B4, Green #33CC33","Geometric pattern overlays, bold outlines, confetti animations, shape decorations, zigzag borders","Creative agencies, entertainment, retro brands, events, novelty products","Professional services, healthcare, enterprise, serious content",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10, Tailwind 5/10",1980s,Medium,"Design a Memphis 80s pop art UI. Use: primary color palette (red, yellow, blue), geometric shapes (squiggles, dots, triangles), bold black outlines, postmodern layout, playful and chaotic energy. 80s aesthetic.","background: pattern with shapes; border: bold 3px solid; colors: pure primaries; font: bold geometric","☐ Primary color palette, ☐ Geometric shape decorations, ☐ Bold outlines, ☐ Pattern backgrounds, ☐ 80s typography","--primary-red: #FF3333, --primary-yellow: #FFFF00, --primary-blue: #3333FF, --outline: 3px solid #000"
16,Biophilic / Organic,General,"Nature-inspired, organic shapes, earth tones, leafy, botanical, natural textures, sustainable","Forest Green #2D5016, Earth Brown #8B4513, Sage #B2C5A0","Cream #FEFAE0, Terracotta #CC785C, Sky Blue #87CEEB","Organic blob shapes, leaf/nature motifs, subtle textures, smooth organic animations, earthy gradients","Wellness, eco brands, sustainability, health, food, garden","Tech, finance, gaming, entertainment",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 8/10, Custom CSS 9/10",2020s Wellness,Medium,"Design a biophilic nature-inspired UI. Use: earth tones (green, brown, cream, sage), organic blob shapes, botanical motifs, natural textures, sustainable aesthetic. Bring nature indoors through design.","border-radius: organic (blob); color: earth tones; background: subtle texture; shapes: irregular organic","☐ Earth tone palette, ☐ Organic shapes, ☐ Nature motifs, ☐ Subtle textures, ☐ Sustainable feel maintained","--forest: #2D5016, --earth: #8B4513, --sage: #B2C5A0, --cream: #FEFAE0"
17,Luxury / High-End,General,"Premium, gold, dark, elegant, serif, exclusive, sophisticated, refined, minimalist luxury","Deep Black #0A0A0A, Gold #B8860B, Champagne #F7E7CE","Deep Navy #0D1B2A, Platinum #E5E4E2, Dark Wine #722F37","Subtle gold accents, refined animations, elegant transitions, minimal decoration, premium photography","Luxury fashion, jewelry, premium hotels, high-end automotive, exclusive services","Mass market, gaming, children, budget brands",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Custom CSS 9/10, Tailwind 6/10",Timeless,Medium,"Design a luxury high-end UI. Use: deep black/dark background, gold/champagne accents, elegant serif typography, refined spacing, premium photography, minimal decoration. Exclusive and sophisticated.","color: #B8860B; background: #0A0A0A; font-family: Cormorant Garamond, Didot; letter-spacing: 0.1em","☐ Dark luxury base, ☐ Gold accent system, ☐ Serif elegant fonts, ☐ Premium imagery, ☐ Refined spacing","--black: #0A0A0A, --gold: #B8860B, --champagne: #F7E7CE, --serif: Cormorant"
18,Nordic / Scandinavian,General,"Functional, minimal, hygge, warm neutrals, wood tones, simplicity, cozy, Nordic design","Off White #F9F6F0, Birch #D4B896, Charcoal #3D3D3D","Muted Blue #6B9EB2, Pine Green #4A7C59, Rust #B5522B","Subtle hover, warm neutral gradients, minimal shadows, clean whitespace, functional typography","Lifestyle brands, furniture, home goods, Nordic products, wellness","Tech-heavy, gaming, entertainment, maximalist brands",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 9/10, Bootstrap 8/10",Nordic Culture,Low,"Design a Nordic Scandinavian UI. Use: warm off-white background, birch wood tones, charcoal text, functional typography, hygge aesthetic, cozy minimal feel, clean grid. Simplicity and warmth.","background: #F9F6F0; color: #3D3D3D; font-family: clean sans-serif; border: subtle; gap: generous","☐ Warm neutral palette, ☐ Wood tone accents, ☐ Functional typography, ☐ Generous whitespace, ☐ Hygge aesthetic","--offwhite: #F9F6F0, --birch: #D4B896, --charcoal: #3D3D3D, --muted-blue: #6B9EB2"
19,Wabi-Sabi / Japanese,General,"Imperfect, natural, transient, earthy, asymmetric, aged, weathered, Japanese aesthetic, wabi-sabi","Warm Grey #9B9B8A, Sand #C4A882, Charcoal #3A3A3A","Rust #A0522D, Celadon #ACE1AF, Ink Black #1C1C1C","Subtle textures (paper, grain), asymmetric layouts, imperfect elements, slow transitions, natural feel","Art, wellness, Japanese culture brands, natural products, mindfulness","Tech, gaming, corporate, entertainment",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Custom CSS 10/10, Tailwind 6/10",Japanese Philosophy,High,"Design a wabi-sabi Japanese UI. Use: imperfect natural aesthetics, earthy sand/grey/rust palette, asymmetric layouts, paper/grain textures, slow minimal transitions. Embrace imperfection and transience.","background: texture paper; color: warm earthy; layout: asymmetric; border: irregular; font: minimal serif","☐ Earthy palette, ☐ Imperfect/asymmetric elements, ☐ Texture applied, ☐ Minimal animations, ☐ Japanese aesthetic maintained","--sand: #C4A882, --grey: #9B9B8A, --charcoal: #3A3A3A, --texture: paper-grain"
20,Y2K / Early Internet,General,"Y2K, 2000s, chrome, iridescent, pixel fonts, early web, glitter, starfield, gradient text","Iridescent Chrome, Hot Pink #FF1493, Electric Blue #0080FF","Silver, Cyan, Neon Yellow, Lime Green","Chrome gradients, iridescent effects, pixel fonts, glitter/sparkle animations, marquee elements, 3D chrome text","Nostalgia, fashion, music, creative, retro brands","Enterprise, professional services, accessibility-critical",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10",2000-2004,Medium,"Design a Y2K early internet UI. Use: iridescent chrome effects, pixel/bubble fonts, hot pink and electric blue, glitter sparkle animations, early web nostalgia, 3D chrome text, metallic gradients.","background: metallic gradient; font: pixel/rounded; color: iridescent; animation: sparkle; text: 3D chrome","☐ Chrome/iridescent effects, ☐ Y2K fonts, ☐ Nostalgia palette, ☐ Sparkle animations, ☐ 2000s feel maintained","--chrome: iridescent gradient, --hotpink: #FF1493, --electric-blue: #0080FF"
21,Dark Mode Native,General,"Dark first, OLED black, reduced eye strain, dark UI, dark theme, night mode","True Black #000000, Dark Grey #121212, Dark Surface #1E1E1E","Accent color (any), White #E0E0E0, Light Grey #9E9E9E","No bright flashes, smooth dark transitions, dim animations, OLED-optimized colors, dark-mode images","Developer tools, media apps, night use apps, professional tools, OLED screens","Daytime-only apps, print design, accessibility-only light contexts",⚠ Limited,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,◐ Medium,"Tailwind 10/10, MUI 9/10",2019-Present,Low,"Design a native dark mode UI. Use: true black #000 or #121212 background, elevated dark surfaces #1E1E1E/#2D2D2D, light text #E0E0E0, accent color, OLED optimized, reduced contrast hierarchy for dark.","background: #000 or #121212; color: #E0E0E0; surface: #1E1E1E; elevation via lighter surfaces","☐ Dark surface hierarchy, ☐ OLED black base, ☐ Light text on dark, ☐ No pure white (too harsh), ☐ Accent works on dark","--bg: #121212, --surface: #1E1E1E, --text: #E0E0E0, --text-secondary: #9E9E9E"
22,Retro Terminal / CLI,General,"Terminal, command line, monospace, green phosphor, amber, CRT, ASCII, matrix, hacker","Phosphor Green #00FF00, Amber #FFB000, Terminal Black #0D0D0D","Cyan #00FFFF, White #FFFFFF, Red (error) #FF0000","CRT scanline effect, blinking cursor, monospace only, typing animations, command prompt style","Developer tools, hacker aesthetic, retro gaming, programming tools, terminal apps","Consumer apps, mainstream audiences, accessibility-critical, mobile-first",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10",1970-1990s,Low,"Design a retro terminal CLI UI. Use: monospace fonts only, phosphor green or amber on black background, CRT scanlines, blinking cursor, command-line aesthetic, ASCII art elements, typing animations.","font-family: monospace; color: #00FF00; background: #000; animation: blink; text-shadow: 0 0 5px #00FF00","☐ Monospace font only, ☐ Dark terminal background, ☐ Phosphor color applied, ☐ CRT effect, ☐ Blinking cursor","--terminal-green: #00FF00, --amber: #FFB000, --bg: #000, --scanline: repeating-linear-gradient"
23,Futuristic / Sci-Fi,General,"HUD, holographic, futuristic, space, sci-fi, data visualization, blueprint, angular, tech","Deep Navy #0A1628, Electric Blue #00D4FF, Cyan #00FFFF","Silver, Red alert #FF4444, Holographic multi-color","HUD overlays, holographic effects, angular clipping, data animations, blueprint grid, tech scan animations","Tech products, space/science, defense UI concepts, gaming, concepts","Consumer mass market, children, accessibility-critical",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10",Science Fiction,High,"Design a futuristic sci-fi HUD UI. Use: dark navy background, electric blue/cyan accents, HUD overlay elements, angular clip-path shapes, holographic effects, blueprint grid, tech scan animations. Space-age aesthetic.","clip-path: polygon; border: 1px solid cyan; background: dark navy; animation: scan; text: monospace or sharp","☐ HUD elements, ☐ Angular shapes, ☐ Dark space background, ☐ Electric accent, ☐ Scan animations, ☐ Blueprint grid","--space: #0A1628, --electric: #00D4FF, --cyan: #00FFFF, --hud: clip-path shapes"
24,Gradient / Mesh,General,"Mesh gradient, fluid gradient, vivid, colorful, modern, gradient overlays, CSS gradient art","Purple #8B5CF6, Blue #3B82F6, Pink #EC4899","Orange #F97316, Teal #14B8A6, Multi-color combinations","Animated mesh gradients, CSS conic gradients, radial overlays, blurred color blobs, gradient text","SaaS landing pages, creative portfolios, modern apps, AI products","Text-heavy content, print, accessibility-critical, forms",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,✓ High,"Tailwind 9/10, Custom CSS 9/10",2022-Present,Medium,"Design a vibrant mesh gradient UI. Use: animated or static mesh gradient background (purple, blue, pink), gradient text overlays, colorful blurred blob shapes, modern vivid palette. Eye-catching and modern.","background: conic-gradient or radial blobs; color: white on gradient; backdrop-filter: optional blur","☐ Mesh gradient applied, ☐ Gradient text, ☐ Contrast on gradient checked, ☐ Animation performance, ☐ Fallback","--purple: #8B5CF6, --blue: #3B82F6, --pink: #EC4899, --gradient: mesh"
25,Micro-Interaction Heavy,General,"Micro-interactions, hover effects, animated, interactive, motion design, transitions, feedback loops","Any palette — interaction-defined","Accent for hover, feedback colors","Hover animations, click feedback, scroll-triggered animations, loading states, success/error states","Interactive products, onboarding flows, gamification, engagement-heavy apps","Fast-load critical, SEO pages, content-first sites",✓ Full,✓ Full,⚠ Good,✓ WCAG AA,✓ High,✓ High,"Framer Motion, GSAP, Tailwind 8/10",2020s,High,"Design a micro-interaction heavy UI. Every element should have meaningful hover, click, and state animations. Use: smooth transitions, scale/color feedback, loading states, success/error animations, scroll-triggered reveals.","transition: all 0.2s ease; transform: scale(1.02); animation: on-state-change; will-change: transform","☐ Hover states defined, ☐ Click feedback, ☐ Loading states, ☐ Success/error states, ☐ Scroll animations, ☐ No jank","--transition: 0.2s ease, --scale-hover: 1.02, --feedback-color: accent"
26,Apple Human Interface,General,"Apple, iOS, macOS, SF Pro, blur, translucency, vibrancy, clean, intuitive, SF Symbols","System Blue #007AFF, White #FFFFFF, System Background #F2F2F7","System Grey, Label colors, Tint colors","vibrancy/translucency effects, SF Symbols, smooth spring animations, blur backgrounds, native feel","iOS/macOS apps, Apple ecosystem, consumer apps, productivity tools","Non-Apple platforms, enterprise cross-platform, heavy customization",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"SwiftUI 10/10, Tailwind 7/10",2013-Present,Low,"Design an Apple HIG compliant UI. Use: SF Pro typography, system blue #007AFF, vibrancy/translucency, SF Symbols icons, iOS-native navigation patterns, spring animations, clean minimal layout.","-webkit-backdrop-filter: blur; font: -apple-system; color: #007AFF; border-radius: 12px; spring animation","☐ SF Pro or system font, ☐ System colors used, ☐ Vibrancy effect, ☐ SF Symbols, ☐ Native navigation patterns","--system-blue: #007AFF, --bg: #F2F2F7, --blur: -webkit-backdrop-filter, --radius: 12px"
